Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
1. Dec 14 Happy Path,M3,,Health,Health Case View: Allergies Tab,,User can manually add any known allergies for a child,,,15,Pod 2,"1 DataGrid, TBD on Edit Form, 1 GET",,
1. Dec 14 Happy Path,M3,,Health,Health Case View: Appointments Tab,,User can see a child's doctor appointment history,,,15,Pod 2,"1 DataGrid, TBD on Edit Form, 1 GET",,
1. Dec 14 Happy Path,M3,,Health,Health Case View: Diagnoses Tab,,,,40,15,Pod 2,"1 DataGrid, TBD on Edit Form, 1 GET",,
1. Dec 14 Happy Path,M3,,Health,Health Case View: Medications Tab,,User can search and select medications for a child,Medicaid integration,,15,Pod 2,"1 DataGrid, TBD on Edit Form, 1 GET",,
1. Dec 14 Happy Path,M3,,Health,Health Case View: Services Tab,,,,,15,Pod 2,,,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Allergies (active/inactive),,User can manually add any known allergies for a child,,,16,Pod 2,,,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Appointments (Upcoming / Previous),,User can see a child's doctor appointment history,,,16,Pod 2,,,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Diagnosis (active/inactive),,,,,16,Pod 2,,,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Health Details,,,,50,16,Pod 2,"1 Page Section, 1 Edit Modal, 1 GET, 1 POST, 1 PATCH",,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Medications (active/inactive),,User can search and select medications for a child,Medicaid integration,,16,Pod 2,,,
1. Dec 14 Happy Path,M3,,Health,Health Person View: Services (active/inactive),,,,,16,Pod 2,,,
1. Dec 14 Happy Path,M3,,Integration,Children's Justice - Juvenile Court System (JCS),,,,0,,,,,
1. Dec 14 Happy Path,M3,,Integration,FDA API,,,,0,,,,,
1. Dec 14 Happy Path,M3,,Integration,"Iowa Immunization Registry
(IRIS)",,,,0,,,,,
1. Dec 14 Happy Path,M3,,Integration,Medicaid - Inbound,,,,0,,,,,
1. Dec 14 Happy Path,M3,,Living Arrangements,Person Living Arrangement - view - Home,,,,,16,Pod 1,,,
1. Dec 14 Happy Path,M3,,Person Overview Page,Dynamic Rendering for Parent vs. Child,,,,9,16,Pod 1,,,
1. Dec 14 Happy Path,M3,,Person Overview Page,Initial Person Overview page,,,,6,16,Pod 1,,,
1. Dec 14 Happy Path,M3,,Person Overview Page,Person Overview page - living arrangements subsection,,,,9,16,Pod 1,,,
1. Dec 14 Happy Path,M3,,Supervisor Dashboard,Pending Transfer Table,,,,1,14,Pod 2,,,
1. Dec 14 Happy Path,M4,,Assessment,Case Assessment page - Add assessment modal w/ dummy link,,,,8,18,Pod 1,,,
1. Dec 14 Happy Path,M4,,Assessment,Case Assessment page - with mock data,,,,8,18,Pod 1,,,
1. Dec 14 Happy Path,M4,,Assessment,Person Assessment Page - With Mock data,,,,8,18,Pod 1,,,
1. Dec 14 Happy Path,M4,,Associations,Case Associations: Edit/Remove Case Member Drawer,,,,3,17,Pod 1,,,
1. Dec 14 Happy Path,M4,,Associations,"Person Associations - All, Case Members, Relatives/Family Support, Professionals",,,,0,17,Pod 1,,,
1. Dec 14 Happy Path,M4,,Associations,Person Associations - relationship drawer,,,,0,17,Pod 1,,,
1. Dec 14 Happy Path,M4,,Courts,Courts Person View Page - Court Cases,,,,,18,Pod 2,1 GET Endpoint.  1 DataGrid.,,
1. Dec 14 Happy Path,M4,,Courts,Courts Person View Page - Court Contacts,,,,,18,Pod 2,1 GET Endpoint.  1 DataGrid.,,
1. Dec 14 Happy Path,M4,,Courts,Courts Person View Page - Hearings and Orders,,,,,18,Pod 2,1 GET Endpoint.  1 DataGrid.  Adding Hearing/Order to Multiple Cases at once.,,
1. Dec 14 Happy Path,M4,,Draft Case,Draft Case Page - Adding New Person to VISION ,,,Need to confirm if we prioritize this on Person or Draft Case; modal is very complex,10,16,Pod 1,,,
1. Dec 14 Happy Path,M4,,Draft Case,Draft Case Page - Allergies,,,,12,17,Pod 2,,,
1. Dec 14 Happy Path,M4,,Draft Case,Draft Case Page - Medications,,,,32,17,Pod 2,,,
1. Dec 14 Happy Path,M4,,Education/Income,"Education/Income Case: Education, Child Care, Income Info",,User can view school information for a child,,20,18,Pod 2,,,
1. Dec 14 Happy Path,M4,,Education/Income,"Education/Income Person: Education, Child Care, Income Info",,User can search for child care providers for a child,,20,18,Pod 2,,,
1. Dec 14 Happy Path,M4,,Global Navigation,Global Nav Updates (People) - ability to find a person in VISION;,,,,Pending Design,16,Pod 1,,,
1. Dec 14 Happy Path,M4,,Services,Add Existing Agencies/Contacts,,,,,17,Pod 2,GET Endpoint.  1 DataGrid,,
1. Dec 14 Happy Path,M4,,Services,Services Person View Page - Additional Services,,,,,17,Pod 2,GET Endpoint.  1 DataGrid,,
1. Dec 14 Happy Path,M4,,Services,Services Person View Page - Case Management Services,,,,,17,Pod 2,"GET, POST, PATCH Endpoints.  1 DataGrid",,
