Release,Milestone,Expanded Scope,Design Feature,Sub Feature,Release Rationale,Business Requirement,Notes / Use Cases,AppDev Story Points,Sprint,App Dev,Work Products/Enablement/Dependencies,Lucid,Estimate
2. 2027 Go-Live MVP,TBD,,Integration,Sex Offender Registry,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,IV-E,Case: IV-E,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,IV-E ,Person: IV-E,,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Licensing Worker Dashboard,Licensing Worker Dashboard,Explicitly called out in expanded scope,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Case Living Arrangements for Out of Home checklist LA- Add/Edit Special Needs, Add/Edit Permanency Goals, Time of Removal Modal, Exit Reason Modal, Add/Edit Circumstance at time of removal",,,"These fields are only required for out of home LA, moved from Happy Path to 2027 MVP; Additionally Special Needs Data Model is currently in MS7, and would not be available to do this work in MS4. ",,18,Pod 1,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,Case Living Arrangements - Add/Edit Respite Care,"SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Case Living Arrangements - Add/Edit Safety Plan, VPA",,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Case Living Arrangements - Children out of home, permancy goal, circumstances at removal, special needs, living arrangements at time of removal, inactive safety plans, inactive living arrangements, and authorizartion forms (active/inactive)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,Case Living Arrangements - Foster care checklists,Part of Expanded Scope SOW? Do we need the checklists?,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Living Arrangements,"Case Living Arrangements - View/Add Contracted Providers (FFC - Fictive Kin, FFC - Relative, FFC - Standard, FFC - Therapeutic, FFC- Informal, NACC, PMIC, QRTP, Shelter Care, SAL - Clustered, SAL - Scattered, CPS by County, Contracted SAL providers, SJDP, State Institution - Evaluation, State Institution - Regular)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Case Living Arrangements - View/Add Non-contracted providers: (Habilitation Home, Hospital, Jail, Psychiatric Hospital, Substance Use Facility, College Campus Housing, ICF/ID, Maternity Home, Other, Detention, Job Corps, PMIC)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Case Living Arrangements - View/Add: Runaway, Trial Home Visit","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Person Living Arrangements - Children out of home, permancy goal, circumstances at removal, special needs, living arrangements at time of removal, inactive safety plans, inactive living arrangements, and authorizartion forms (active/inactive)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Person Living Arrangements - View - Contracted Providers (FFC - Fictive Kin, FFC - Relative, FFC - Standard, FFC - Therapeutic, FFC- Informal, NACC, PMIC, QRTP, Shelter Care, SAL - Clustered, SAL - Scattered, CPS by County, Contracted SAL providers, SJDP, State Institution - Evaluation, State Institution - Regular)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Person Living Arrangements - view - Non-contracted providers (Habilitation Home, Hospital, Jail, Psychiatric Hospital, Substance Use Facility, College Campus Housing, ICF/ID, Maternity Home, Other, Detention, Job Corps, PMIC)","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"Person Living Arrangements - View - Runaway, Trial Home Visit","SOW calls out ""Record Out-of-Home Living Arrangements and essential services"". 
Can this list be simplilfied? Free text entry for ""Other"" living arrangements?",,,,,,,,
2. 2027 Go-Live MVP,TBD,,Living Arrangements,"The CCWIS solution shall contain checklists of required activities, fields, and/or paperwork required by living arrangement type. The Living Arrangement Checklist may be accessed before or after a living arrangement is entered. (PDF)",Critical,FN0149,,,,,,,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Case - Complete Questionniare Drawer,Need to be able to support Native American/ICWA for go-live,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Case Active Efforts Tab + Edit Drawer,Need to be able to support Native American/ICWA for go-live,,,,,,"1 DataGrid, 1 Large Form, Unknown API Needs (at a minimu 1 GET and 1 POST)",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Case Court Requirements Tab + Edit Drawer,Need to be able to support Native American/ICWA for go-live,,,,,,"1 DataGrid, 1 Large Form, Unknown API Needs (at a minimum 1 GET and 1 POST)",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Case ICWA Overview Tab + Edit Modals for ICWA Confirmation / Edit Tribal Rep.,Need to be able to support Native American/ICWA for go-live,,,,,,"4 DataGrids, 2 Simple Forms, 1 Large Form, 1 Medium Form.  Unknown API Needs (At a minimum 4 GET Endpoints, 4 POST)",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Person - Child - Active Efforts Tab,Need to be able to support Native American/ICWA for go-live,,,,,,"1 DataGrid, 1 View Side Panel, 2 GET Endpoints",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Person - Child - Court Requirements Tab,Need to be able to support Native American/ICWA for go-live,,,,,,"1 DataGrid, 1 View Side Panel, 2 GET Endpoints",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Person - Child - Overview Tab,Need to be able to support Native American/ICWA for go-live,,,,,,"3 DataGrids, 3 GET Endpoints",,
2. 2027 Go-Live MVP,TBD,,Native American/ICWA,Person - Parent - Overview Tab,Need to be able to support Native American/ICWA for go-live,,,,,,"1 DataGrid, 1 GET Endpoint",,
2. 2027 Go-Live MVP,TBD,,Non-Agency Voluntary,Non-Agency Voluntary + Additional Pathways. Refer families for Non-Agency Services. The Non-Agency Services referral shall be housed in the system. Information will be displayed at the case and person level.,High priority in feature matrix,FN0201,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Case Notes,Need to have a way to add notes,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Concurrent Planning Note (Add/Edit),Unsure which of these notes are required vs. nice to have,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Contact Notes (Add / Edit),Unsure which of these notes are required vs. nice to have,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Face to Face Note (Add/Edit),Unsure which of these notes are required vs. nice to have,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Person Notes,Need to have a way to add notes,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,View Case Notes / Tasks / Calendars,Calendars could maybe be carved out as nice to have,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Notes,Worker Safety Note (Add/Edit),Unsure which of these notes are required vs. nice to have,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Payments,Payment Calculation and Fund Source Hierarchy,TODO: Breakout sub features based on discovery sessions,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Person Overview Page,Assessment Data / JARVIS Link,AFCARS,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Person Overview Page,"Missing SSN, Address, or DOB - reasons / indicators (incomplete 3D people)",Indicators like allergies can be a safety concern if not known quickly,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Person Overview Page,Person Overview Page - Indicators,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Case Page: Concurrent Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Case Page: Prevention Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Case Page: Transition Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Person Page: Concurrent Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Person Page: Prevention Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Planning ,Person Page: Transition Plan,I believe there are scenarios where these plans are also required,,,,,,,,
2. 2027 Go-Live MVP,TBD,Yes,Provider Management,Contracted Provider Management,TODO: Breakout sub features based on discovery sessions,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Services,Adding ECF integrations,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Services,Case - Add Child Protective Services Modal,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Services,Drug Testing Services (JARVIS),,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Services,Services Case View Page - Child Protective Services,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Services,Services Comments,,,,,,,"GET, POST, PATCH Endpoint (POST and PATCH endpoints are harder than other areas due to validation logic requirements).  1 DataGrid.  6 Add Forms.  1 Edit Form.  (Dependent on Contracted Providers Data Model.  Dependent on Recommending Agencies and Accepting / Overriding).  Has designs for adding multiples at once.  Error Messaging When Service Limits Are Exceeded",,
2. 2027 Go-Live MVP,TBD,,Services,Services Person View Page - Child Protective Services,,,,,,,GET Endpoint.  1 DataGrid,,
2. 2027 Go-Live MVP,TBD,,Services,Updates to Services modals to support integration with ECF,,,,,,Pod 2,,,
2. 2027 Go-Live MVP,TBD,Yes,Subsidy Worker Dashboard,Subsidy Worker Dashboard,Likely necessary for expanded scope,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Supervisor Dashboard,"Child Visits, Parent Visits, Payment Cases, Designate Supervisor, Reassign Service Area",,,,,,,"Tasks, Calendar, Intakes/Assessments Shared with Case Manager.  Pending Cases (2 GET Endpoints, 2 DataGrids).  Ongoing Cases (1 GET, 1 DataGrid).  Case Metrics (at least 1 GET, 1 DataGrid).  Child Visits (1 GET, 1 DataGrid), Parent Visits (1 GET, 1 DataGrid).  Payment Cases (3 GETs, 3 DataGrids).  Foster Homes (1 GET, 1 DataGrid).  Plan My Day (TBD).  Designate Supervisor (1 GET, 1 POST, 1 Form).  Reassign Service Area (1 POST, 1 Form).  Assign Case Manager Modal (TBD but many GET endpoints.  1 very complex form).  ",,
2. 2027 Go-Live MVP,TBD,Yes,Supervisor Dashboard,Foster Homes Table,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Supervisor Dashboard / CPW Dashboard,Manage Workers Modal - Initial Build,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,System Administration,Admin Features: Merging persons,,,,,,,,,
2. 2027 Go-Live MVP,TBD,,Timeline,Case: Timeline,Needed for audit purposes,,,,,,Not designed yet,,
2. 2027 Go-Live MVP,TBD,,Timeline,"Hstorical case assignment information on the case assignment dashboards, as well as assigned workers throughout the life of the case on the timeline.",Needed for audit purposes,FN0094,,,,,,,
3. Backlog,,,Associations,Case Associations - Case Member Relationships Automated Inheritance,Assuming this can be done manually if we don't have the automated inheritance,,,,,,,,
3. Backlog,,,Associations,Person Associations - Relationships Editing in between cases,Edge case and could wait until an active case opens,,,,,,,,
3. Backlog,,,Case Overview Page,Case Overview Page - Household information tab / Address Normalization,Address normalization feels like a nice-to-have. Household info is just a regrouping of information available elsewhere,,,,,,,,
3. Backlog,,,Case Overview Page,Case Overview Page - Indicators with tooltip,"Tooltip info not necessary for go-live, can be found elsewhere on case",,,,,,,,
3. Backlog,,,Case Setup,Case Manager Checklist - Functional links internal and external to VISION,"SWCM checklist is in SOW, but links feel like a nice-to-have",,,,,,,,
3. Backlog,,,Case Setup,Case Transfer Approval Workflow - Locking State of Handoff Section,Likely a nice-to-have?,,,,,,,,
3. Backlog,,,Courts,Add Hearing/Order with Multiple Cases,"Assuming this is a bulk action, nice to have",,,,,,,,
3. Backlog,,,Courts,Creating a case while assigning contacts			,,,,,,,,,
3. Backlog,,,Courts,Permanency Goals based on court orders (Court Involved indicator and View Court Order),,,,,,,Additional complexities on the endpoints,,
3. Backlog,,,Dashboards,Calendar,"Necessary for Plan my Day, which we know is a high priority",,,,,,,,
3. Backlog,,,Dashboards,"Plan my Day (Supervisor, Case Manager)","Technically nice-to-have, but we know this is marked critical in the requirements matrix and has been discussed at length.
",,,,,,,,
3. Backlog,,,Dashboards,"Tasks (supervisor, case manager)",,,,,,,,,
3. Backlog,,,Forms,Generate pre-filled PDF forms for up to 20 form types,"Has been talked about a lot, but likely just a time-saver. Not explicitly in the SOW",,TODO: Break out to separate forms that are part of AI use cases,,,,,,
3. Backlog,,,Global Search,"Global Search - Searching beyond person, case",,The abiltiy to look up case and people details,,,,,,,
3. Backlog,,,Global Search,Natural language searching,,The abiltiy to look up case and people details,,,,,,,
3. Backlog,,,Google Places API,Google Places - Auto-completing,,,TODO: How are we doing address validation?,,,,,,
3. Backlog,,,Google Places API,Google Places API - Courts,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Education,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Health,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - ICPC,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Living Arranagements,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Plan My Day,"Talked about a lot, but able to get information directly from Google/new tab",,,,,,"Used across many places - Courts, Services, Health, ",,
3. Backlog,,,Google Places API,Google Places API - Planning,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Provider Management,,,,,,,,,
3. Backlog,,,Google Places API,Google Places API - Services,,,,,,,,,
3. Backlog,,,Living Arrangements,Case Living Arrangements - Out of Home LA Checklist,Is the checklist a necessary step to document?,,,,,,,,
3. Backlog,,,Notes,Add Notes from Global Toolbar,Other ways to add notes so nice to have,,,,,,,,
3. Backlog,,,Notes,Save Draft Note / Draft Note Status,Likely a higher priority as interruptions are common,Req Traceability Matrix: High,,,,,,,
3. Backlog,,,Notifications,Notifications,,,,,,,Not designed yet,,
3. Backlog,,,Person Overview Page,Person Overview Page - Indicators with tooltip,"Tooltip info not necessary for go-live, can be found elsewhere on case",,,,,,,,
3. Backlog,,,Services,Bulk End Date Additional Services by Agency,Bulk actions are nice to haves,,,,,,"1 Form, 1 POST or PATCH Endpoint",,
3. Backlog,,,Services,Bulk End Date Child Protective Services,Bulk actions are nice to haves,,,,,,"1 Form, 1 POST or PATCH Endpoint",,
3. Backlog,,,Services,Case - Add Multiple Child Protective Services Modal,Bulk actions are nice to haves,,,,,,,,
3. Backlog,,,Supervisor Dashboard,Case Metrics,,,,,,,"Tasks, Calendar, Intakes/Assessments Shared with Case Manager.  Pending Cases (2 GET Endpoints, 2 DataGrids).  Ongoing Cases (1 GET, 1 DataGrid).  Case Metrics (at least 1 GET, 1 DataGrid).  Child Visits (1 GET, 1 DataGrid), Parent Visits (1 GET, 1 DataGrid).  Payment Cases (3 GETs, 3 DataGrids).  Foster Homes (1 GET, 1 DataGrid).  Plan My Day (TBD).  Designate Supervisor (1 GET, 1 POST, 1 Form).  Reassign Service Area (1 POST, 1 Form).  Assign Case Manager Modal (TBD but many GET endpoints.  1 very complex form).  ",,
3. Backlog,,,Supervisor Dashboard / CPW Dashboard,Manage Workers Modal - Complete Build (beyond the shell),Are there complex scenarios for manage workers that could be put in the Backlog?,,TODO: Team needs to confirm what pieces need to go into a new 2027 go-live MVP row and what stays in backlog.,,,,,,
3. Backlog,,,System Administration,"Allow supervisors to create temporary custom ""rosters"" of staff they do not directly supervise within their Service Area, temporarily assigning them to their supervsion. This will be visible on the supervisor dashboard. This would allow supervisors to be able to perform actions on all entities related to this roster. ",,FN0224,,,,,,,
3. Backlog,,,System Administration,System Administration,,,TODO: Break out specific sub-features,,,,,,
3. Backlog,,,System Administration,"We have in Lucid on the Left Nav a launch to all of our forms.  We still want a launch point to forms, but what we really need is access to a screen that System Admins can add various helpful links to, including the Official Forms SharePoint, online person search tools, etc  - allows us flexibility.  I think we might want something like this to be accessible no matter where they are at in the system (like Notes are), as a popup over the screen the user is currently on. Free online people serach tools that we have found to be helpful for staff to identify and locate potential relatives for children (e.g. https://www.fastpeoplesearch.com/)",,,,,,,,,
3. Backlog,,,,"Bulk/Multi-select for Reassignment. Ability to transfer a case or an entire caseload from one Case Manager to another (or something in between for Reassignment and Share With - multiselect multiple cases (i.e. might not be all), and assign/share with a specific Case Manager vs. having to do it one by one","7/27: Lisa and Matt pinged in the Iowa Collab space, Nick proposed backlog",,,,,,,,
3. Backlog,,,,"Current State: The AI Policy Assistant is currently grounded in PDF versions of the current policies available on the HHS website (as of April 2026).  In order to update the resources used by the AI Mentor, the operations team will need to manually update the PDFs in the database.

Recommended Future State: explore a technical solution that enables the AI Policy Mentorship to be grounded in the most recent policies without manual intervention. A solution may include an integration with Sharepoint - where the policies are formally housed.",,,,,,,,,
3. Backlog,,,,"Current States: The  current MVP does not include integration with any email server/platform.  This was reviewed and confirmed during January 2026 oniste in Iowa. 

Requested Future State: allow users to be able to email attachments from ECF from the VISION platform.",,,,,,,,,
3. Backlog,,,,Idea: VISION application would support field team member ability to upload an audio recording of a face-to-face meetings with families. ,,,,,,,,,
3. Backlog,,,,"Policy Assistant - Investigate SharePoint Linking: Determine if the AI can be trained to automatically hyperlink form numbers to the corresponding SharePoint landing page (not the specific form but their overarching landing page)
https://gitlab.com/hhs-vision/appdev/hhs-vision-appdev/-/work_items/2554",,,,,,,,,
3. Backlog,,,,"Policy Assistant - Reference Links: Linking policy reference citations directly to specific pages in the PDF document.
https://gitlab.com/hhs-vision/appdev/hhs-vision-appdev/-/work_items/2553",,,,,,,,,
3. Backlog,,,,Recommended Future State:  Matt Haynes AI use case for the incoproration of functionality of what AFCARS data elements have not been completed,,,,,,,,,
3. Backlog,,,,Recommended Future State:  Matt HaynesRecommended incorporating the 'Training Artifacts (Job Aids/User Guide)' VISION Program Deliverable into the AI Policy Mentor..,,,,,,,,,
3. Backlog,,,,Recommended Future State: apply the repeatable process developed for FORM generation to the remaining forms on the priority list. Top 20 included in MVP.,,,,,,,,,
3. Backlog,,,,Recommended Future State: Calendar - when adding a event see a view of your calendar for that day so you do not accidentally schedule over.,,,,,,,,,
3. Backlog,,,,Recommended Future State: Give users the ability to customize their dashboard and move widgets around. Collapse widgets.,,,,,,,,,
3. Backlog,,,,Recommended Future State: Overall dashboard - Ability to collapse features,,,,,,,,,
3. Backlog,,,,Recommended Future State: Tasks - consider using status color for task title in addition to just the date,,,,,,,,,
3. Backlog,,,,"Recommended Future State: Tasks List - include subtasks, overall % complete and progress bar",,,,,,,,,
3. Backlog,,,,"Recommended Future State: The project team developed the FORM filling functionality using PDF.js.  In the future, if/when Iowa would like to include DocuSign to the forms, the paltform would need to be changed to one that can manage form filling and DocuSign (e..g, Nutirent).  Of note, Adobe was used to convert the static PDF to fillable form.",,,,,,,,,
3. Backlog,,,,"Recommended Future State: When adding a calendar event, need ability to set up a recurring event.",,,,,,,,,
3. Backlog,,,,Recommended Future State: When you're in a note - add the ability to capture data from the note and suggest items in other suggestions (I.E. in a face-to-face note you mention a child has started taking a new medication),,,,,,,,,
,M1,,Case Level Overview,"Automatically populate relevant information from JARVIS into the draft case when Case Setup is initiated. This shall include, but is not limited to case members, address, DOB, sex, race, ethnicity, and demographics.",Critical,FN0098,,,,,,,
,M1,,Case Level Overview,Cancel Case Setup while in draft and pending status.,Critical,FN0049,,,,,,,
,M1,,Case Level Overview,"Users can enter relevant information during draft case, pre-SWCM assignment (e.g., living arrangements, client details, case details).",Critical,FN0097,,,,,,,
,M2,,Case Assignment Dashboard Workflow,Alow the SWCM supervisor to transfer a case to a SWCM following transfer approval.,,FN0041,,,,,,,
,,,Calendar Management,"Users to choose an event/appointment type from a drop-down field when creating events and/or appointments. Information will display at the case level, person level, and SWCM and Supervisor Dashboards.",,FN0077,,,,,,,
,,,Case Assignment Dashboard Workflow,"""quick overview"" of the case on the Case Assignment dashboard to aid supervisors in determining the worker best fit. It shall list the case information entered in draft stage including the following: case members, assessment allegation information, assessment due/approval dates, children's living arrangement, court involvement, tribal affiliation, prior cases, infants affected by substances, and safe haven information.   ",,FN0055,,,,,,,
,,,Case Assignment Dashboard Workflow,Allow supervisors to assign SWCMs even if details are missing or yet to be entered.,,FN0036,,,,,,,
,,,Case Assignment Dashboard Workflow,"Include assessment due dates, the assessment approval date, days pending assignment, case pathway, case name/incident #, current worker, residence county, children out of home, and court involved on the case assignment dashboard.",,FN0056,,,,,,,
,,,Case Closing Workflow,"SWCM to view closed and transferred cases on the SWCM dashboard. This is based on a specific period of time, as well as the ability to view the workflow progress bar. ",,FN0114,,,,,,,
,,,Case Level Overview,"Display allegations on the Case Overview by status, reflected in color coding. ",High,FN0251,,,,,,,
,,,Case Level Overview,"Display case level information on the Case Identifier including case status, case name, case id, case pathway, service area, financial county, case opened date, assessment approval date, case closed date, child(ren), workers, information on who case is shared with, indicators, and quick action flyouts.",Critical,FN0299,,,,,,,
,,,Case Level Overview,"Display household information for participants viewed on Case Overview, including participants' addresses and other known contact information.",Medium,FN0248,,,,,,,
,,,Case Level Overview,"Display names, ages, case roles, and contact information for persons associated with the case member (parents/guardians). Household(s) viewed on Case Overview.",Medium,FN0249,,,,,,,
,,,Case Level Overview,"Display uploaded and associated documents, CPS history, court events, education, health, safety concerns, and child care information on the Case Overview tab. This tab will display hyperlinks that allow users to access related information from this tab, e.g., uploaded and associated safety or family interaction plans. ",Critical,FN0312,,,,,,,
,,,Case Level Overview,Right side Tasks and Calendar flyouts on all Case level tabs. ,High,FN0312,,,,,,,
,,,Case Level Overview,Route users to the Case Overview when a case is selected. The workflows are all overlays over the Case Overview.  ,Critical,FN0250,,,,,,,
,,,Case Level Overview,"Users to document case handoff information on the Checklist tab, as a part of the Case Setup process. Users will have the ability to enter scheduled and completed dates for the internal and external (family) hand off meetings, or indicate that no hand off is required. ",High,FN0299,,,,,,,
,,,Case Manager Dashboard,"List all cases assigned to the worker on the SWCM dashboard. The dashboard shall include a calendar with events, as well as a separate list of case management tasks.",,FN0118,,,,,,,
,,,Case Manager Dashboard,"Lst all visitation required to be completed by the caseworker on the SWCM dashboard. This shall show the required and completed (data entered) visitations for the reporting period (month, previous month, next month).",,FN0119,,,,,,,
,,,Case Setup Approval Workflow,Allow the CPW and SWCM supervisors to approve or reject a case for transfer for ongoing case management services. Both supervisors shall approve the case prior to transfer to a SWCM.,,FN0037,,,,,,,
,,,Case Setup Approval Workflow,"Allow the SWCM supervisor to ""return"" a pending case to a CPW and/or CPW supervisor for additional updates prior to approval.",,FN0040,,,,,,,
,,,Case Setup Approval Workflow,"Alow the CPW supervisor to ""return"" a pending case to a CPW for additional updates prior to approval.",,FN0038,,,,,,,
,,,Case Setup Overview,"Allow CPWs and SWCMs to access the Case Setup workflow from their respective  Dashboards, allowing them to see case setup status updates. The CPW will have the ability to request transfer to a SWCM. The CPWs and SWCMs will have the ability to share cases from their respective dashboards. ",,FN0254,,,,,,,
,,,CPW Dashboard,"List all Assessments identified for Case Management Services or Non-Agency Services associated to a CPW on the CPW Dashboard, as well as draft and pending transfer/approval cases. ",,FN0253,,,,,,,
,,,ECF,"The CCWIS solution shall allow for robust filtering within the ECF, including the ability to filter by case participants, specific timeframe, file section, document type, filtering at the person level in Vision cases, etc.",,FN0227,,,,,,,
,,,ECF,The CCWIS solution shall allow users to delete documents housed in the ECF based on user permissions. The classification of the documents can be edited based on user permissions. This can be done at the case and person level.,,FN0125,,,,,,,
,,,ECF,"The CCWIS solution shall allow users to edit data elements that categorize documents housed in the ECF, such as expiration date, persons associated to the document, etc. In some cases certain documents are not able to be edited. This can be done at the case and person level.",,FN0225,,,,,,,
,,,ECF,The CCWIS solution shall allow users to edit fields of documents housed in the ECF. In some cases certain documents are not able to be edited. This can be done at the case and person level.,,FN0126,,,,,,,
,,,ECF,The CCWIS solution shall allow users to upload one document to multiple case participants.,,FN0226,,,,,,,
,,,ECF,"The CCWIS solution shall allow users to view all documents generated or associated with the case throughout its duration as well as view previously closed case documents.
 .",,FN0127,,,,,,,
,,,ECF,The CCWIS solution shall allow users to view historical documents at the person level housed in the ECF.,,FN0128,,,,,,,
,,,ECF,The CCWIS solution shall associate and re-associate documents in the ECF with case participants.,,FN0129,,,,,,,
,,,ECF,"The CCWIS solution shall contain an ECF, which shall be used to upload documents. Users will have the ability to ""drag and drop"" documents through the Upload Document widget. ",,FN0130,,,,,,,
,,,ECF,"The CCWIS solution shall house forms. These forms shall auto populate information. Users shall be able to add, edit, and delete data elements manually on forms as appropriate, for documents that have been uploaded in to the ECF. ",,FN0217,,,,,,,
,,,ECF,The CCWIS solution shall identify and transmit specific income-related data elements to the ICAR system in accordance with the terms outlined in the MOU.,High,FN0308,,,,,,,
,,,ECF,"The CCWIS solution shall sort documents in the ECF into file sections based on document type and file section. The solution shall allow users to associate documents, photos, videos, and audio recordings in the ECF. ",,FN0131,,,,,,,
,,,Education/Income,Associate multiple children with a school at one time. Users will then have the ability to add unique information to each child that has been associated with that school. Displays at case and person levels. ,Critical,FN0134,,,,,,,
,,,Education/Income,"Enter education information related to each child case regularity of attendance, grade level functioning, graduation date, member's grade, school type, IEP/504 plan status, educational surrogate, vocational rehabilitation services, school advocacy needed, date education records provided to caregivers, ESSA applicability, and early access/AEA referral, early access services (AFCARS). Information can be updated throughout the life of the case, and displays at case and person levels. ",High,FN0124,,,,,,,
,,,Education/Income,Search and select child care provider information. Users shall have the ability to enter start and end dates of enrollment. Information will be displayed at case and person levels. ,Critical,FN0259,,,,,,,
,,,Education/Income,Search and select school facility information (or select home school and associate them with case members. School grade shall be selected from a drop-down field. Users shall have the ability to enter start and end dates of enrollment. Displays at case and person levels. ,High,FN0123,,,,,,,
,,,Education/Income,"The CCWIS solution shall allow users to enter, update, and track income information for children, parents, and other relevant case members throughout the life of a case. Income data shall be tied to specific individuals, support historical tracking, and be used in eligibility determination, service planning, and reporting.",Critical,FN0292,,,,,,,
,,,Education/Income,"The CCWIS solution shall automatically update a child's grade level yearly, on the 31st of July, on active cases. Users will have the ability to manually adjust grade. Information will be displayed at the case and person level. ",Medium,FN0290,,,,,,,
,,,Education/Income,The CCWIS solution shall capture information populated from the DOE in the Education 'tab'. ,High,FN0160,,,,,,,
,,,Education/Income,"The CCWIS solution shall populate protective/foster care daycare information from Kindertrack system. This information will automatically populate in the Case Overview, Education, and Services tabs. 'Other Child Care' type information will only be displayed in the Case Overview and Education tabs. All child care types will be displayed at the case and person level.  ",High,FN0291,,,,,,,
,,,Forms,"The CCWIS solution shall allow users to autopopulate forms and documents with system information when possible, allowing editing, prior to printing them. Information will display at the case and person level.",,FN0079,,,,,,,
,,,Forms,The CCWIS solution shall allow users to generate Relative Notice forms using information populated from associations to a case/case members. Information will display at the case and person level. ,,FN0083,,,,,,,
,,,Forms,"The CCWIS solution shall auto populate the ""Notice of Decision"" form, allow modifications, send to central print through email or printing a hard copy, and upload into the ECF. Information will be displayed at case and person levels. ",,FN0027,,,,,,,
,,,Health,"Support modular dashboard widgets, including a Child Allergy Information widget, which displays on a child’s profile, with the opportunity to add to the person record during case setup, or at anytime while the case remains open. The widget shall allow users to quickly view, update, and respond to allergy-related information without navigating away from the main case view. (e.g., add person to case)",,FN0245,,,,,,,
